"export-plot data (NetLogo 6.1.1)"
"Social_Inequity_in_Transportation_System.nlogo"
"10/14/2020 20:09:44:020 +0100"

"MODEL SETTINGS"
"fare","bus_fare","buy-price","threshold"
"0","0","1.4","0"

"""Mode Shift"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","300","0","4070","true","""Car""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Car""","true","0","1","94","300"
"""Public""","true","0","1","96","300"

"""Car""",,,,"""Public"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","94","true","0","3700","96","true"
"1","1074","94","true","1","2646","96","true"
"2","957","94","true","2","2760","96","true"
"3","1104","94","true","3","2610","96","true"
"4","1414","94","true","4","2306","96","true"
"5","1597","94","true","5","2121","96","true"
"6","1799","94","true","6","1921","96","true"
"7","1941","94","true","7","1777","96","true"
"8","2113","94","true","8","1604","96","true"
"9","2233","94","true","9","1483","96","true"
"10","2307","94","true","10","1412","96","true"
"11","2380","94","true","11","1339","96","true"
"12","2452","94","true","12","1264","96","true"
"13","2482","94","true","13","1237","96","true"
"14","2519","94","true","14","1202","96","true"
"15","2548","94","true","15","1173","96","true"
"16","2580","94","true","16","1140","96","true"
"17","2572","94","true","17","1146","96","true"
"18","2582","94","true","18","1137","96","true"
"19","2633","94","true","19","1086","96","true"
"20","2643","94","true","20","1071","96","true"
"21","2652","94","true","21","1066","96","true"
"22","2702","94","true","22","1013","96","true"
"23","2717","94","true","23","1002","96","true"
"24","2684","94","true","24","1035","96","true"
"25","2763","94","true","25","950","96","true"
"26","2724","94","true","26","995","96","true"
"27","2740","94","true","27","978","96","true"
"28","2786","94","true","28","934","96","true"
"29","2768","94","true","29","951","96","true"
"30","2803","94","true","30","917","96","true"
"31","2823","94","true","31","892","96","true"
"32","2817","94","true","32","901","96","true"
"33","2783","94","true","33","938","96","true"
"34","2830","94","true","34","888","96","true"
"35","2864","94","true","35","854","96","true"
"36","2860","94","true","36","859","96","true"
"37","2851","94","true","37","866","96","true"
"38","2843","94","true","38","876","96","true"
"39","2896","94","true","39","823","96","true"
"40","2871","94","true","40","846","96","true"
"41","2868","94","true","41","849","96","true"
"42","2864","94","true","42","856","96","true"
"43","2868","94","true","43","851","96","true"
"44","2867","94","true","44","853","96","true"
"45","2864","94","true","45","857","96","true"
"46","2885","94","true","46","831","96","true"
"47","2931","94","true","47","788","96","true"
"48","2899","94","true","48","818","96","true"
"49","2881","94","true","49","838","96","true"
