BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social_Inequity_in_Transportation_System.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2020 20:43:24:351 +0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30,30,-30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
fare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bus_fare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buy-price,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
threshold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[reporter],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1],count turtles with [own-car = 1]
[final],1822,1878,1818,1880,1846,1840,1813,1892,1924,1878,1798,1854,1814,1850,1917,1851,1863,1803,1818,1832,1864,1853,1895,1894,1817,1895,1814,1788,1865,1886,1891,1931,1900,1889,1862,1864,1885,1868,1860,1844,1881,1886,1836,1820,1905,1855,1916,1879,1879,1802,1823,1858,1860,1902,1833,1885,1850,1869,1852,1852,1827,1823,1821,1902,1845,1840,1882,1851,1838,1843,1835,1870,1817,1926,1872,1815,1869,1799,1893,1868,1877,1873,1830,1858,1804,1844,1850,1822,1847,1917,1875,1908,1859,1882,1840,1861,1870,1849,1865,1907
[min],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[max],1967,1946,1936,1926,1967,1949,1947,1921,1943,1933,1917,1926,1931,1932,1947,1941,1931,1972,1921,1938,1920,1929,1939,1929,1945,1936,1943,1934,1944,1950,1943,1931,1941,1911,1928,1938,1961,1922,1923,1926,1948,1940,1948,1927,1942,1949,1950,1966,1918,1911,1929,1969,1924,1921,1941,1929,1968,1927,1929,1919,1932,1955,1937,1942,1932,1952,1940,1932,1917,1934,1926,1942,1930,1957,1949,1966,1961,1920,1931,1962,1935,1965,1948,1932,1928,1932,1955,1939,1940,1946,1932,1946,1952,1963,1915,1961,1925,1946,1934,1946
[mean],1831.299003,1821.342193,1813.727575,1821.531561,1811.564784,1815.890365,1822.687708,1815.830565,1832.159468,1821.840532,1812.940199,1822.744186,1821.272425,1823.312292,1835.9701,1824.830565,1820.624585,1823.33887,1808.428571,1819.495017,1813.66113,1810.784053,1813.960133,1821.046512,1819.275748,1816.827243,1823.538206,1826.960133,1822.219269,1823.910299,1815.262458,1816.445183,1820.245847,1810.109635,1818.10299,1814.335548,1820.903654,1813.392027,1816.438538,1820.890365,1808.966777,1816.903654,1816.883721,1809.122924,1824.212625,1829.694352,1827.249169,1823.601329,1817.342193,1810.604651,1813.963455,1816.013289,1814.833887,1809.069767,1823.262458,1814.501661,1826.727575,1818.378738,1815.803987,1806.993355,1824.179402,1833.332226,1814.55814,1824.38206,1818.495017,1820.199336,1819.548173,1819.684385,1813.245847,1811.777409,1815.777409,1821.574751,1812.581395,1824.312292,1815.481728,1815.156146,1816.873754,1809.697674,1821.933555,1816.20598,1819.295681,1818.421927,1819.803987,1817.299003,1821.548173,1822.508306,1821.973422,1818.498339,1812.053156,1815.654485,1813.960133,1824.946844,1831.76412,1818.481728,1814.568106,1818.069767,1820.833887,1820.528239,1820.784053,1816.139535
[steps],300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
